,philips3,siemens3,ge3,philips15,siemens15,ge15
philips3,0.8646206929239285,0.7977658031923555,0.8222290776951333,0.8523385577440321,0.8368883621674168,0.8005764807290129
philips15,0.5409516147709961,0.8335653544855312,0.8645886057647743,0.9029866747606592,0.8044360073400059,0.6464115942926161
siemens3,0.4766840036001301,0.8866287165005042,0.7813371402896173,0.6878213441198077,0.6538212441767438,0.2945603543775442
siemens15,0.7784386335945199,0.7942498313220205,0.8404284959348781,0.8838206081925523,0.8972945371892195,0.7612861752125968
ge3,0.5998956810646902,0.7951409100808992,0.9012902565071886,0.8956909090399476,0.8178130114433572,0.7334780196816971
ge15,0.8287751780791079,0.7387511022128971,0.8031068067789382,0.8413504963881536,0.8644876396064518,0.8904757856023955
