,philips3,siemens3,ge3,philips15,siemens15,ge15
philips3,0.7961104532094682,0.7463476294501079,0.7995452047791584,0.81624162546817,0.8052620980154238,0.8019065790363864
philips15,6.749575463991634e-05,0.0005192005623217,0.000378695026025,6.518234255689386e-05,1.6842570991622103e-05,0.0001727887523967
siemens3,0.3261656285317879,0.7649475518157276,0.613243402345958,0.601169064413808,0.482637199801481,0.218178301122158
siemens15,0.5611214302297136,0.7445685272135891,0.7073357084437141,0.7819571325719944,0.737165499069776,0.5298393253476921
ge3,0.007900753700309,0.0010964601519778,0.0109572420959872,0.0092200182182695,0.0034861717465811,0.0069959866584435
ge15,0.7410089982636777,0.7419526454590479,0.7842005229370449,0.8274412072169363,0.8444192039308521,0.8485165123801561
